n	n*n	#proc	run	time [s]	distance
512	262144	1	17	0.070165	1633.15
512	262144	1	18	0.070195	1633.15
512	262144	1	19	0.070221	1633.15
512	262144	2	0	0.052834	1632.69
512	262144	2	1	0.052783	1634.99
512	262144	2	2	0.052653	1634.14
512	262144	2	3	0.052379	1634.85
512	262144	2	4	0.051512	1632.62
512	262144	2	5	0.052351	1635.75
512	262144	2	6	0.052354	1634.19
512	262144	2	7	0.052228	1633.76
512	262144	2	8	0.052175	1636.11
512	262144	2	9	0.052276	1634.19
512	262144	2	10	0.052455	1634.12
512	262144	2	11	0.052484	1633.2
512	262144	2	12	0.051985	1630.14
512	262144	2	13	0.052243	1634.79
512	262144	2	14	0.052015	1634.63
512	262144	2	15	0.052074	1633.42
512	262144	2	16	0.052067	1632.79
512	262144	2	17	0.052457	1634.08
512	262144	2	18	0.052393	1634.84
512	262144	2	19	0.052395	1632.73
512	262144	3	0	0.044558	1632.76
512	262144	3	1	0.04478	1632.16
512	262144	3	2	0.045181	1635.14
512	262144	3	3	0.044927	1632.8
512	262144	3	4	0.044815	1632.76
512	262144	3	5	0.044572	1632.11
512	262144	3	6	0.045588	1636.84
512	262144	3	7	0.045317	1634.43
512	262144	3	8	0.045129	1633.84
512	262144	3	9	0.044172	1634.85
512	262144	3	10	0.044596	1635.76
512	262144	3	11	0.044012	1634.63
512	262144	3	12	0.044306	1636.86
512	262144	3	13	0.044158	1633.79
512	262144	3	14	0.044139	1634.8
512	262144	3	15	0.044672	1634.66
512	262144	3	16	0.04432	1632.63
512	262144	3	17	0.044886	1633.55
512	262144	3	18	0.044045	1632.77
512	262144	3	19	0.043918	1633.65
512	262144	4	0	0.040477	1633.43
512	262144	4	1	0.040747	1634.23
512	262144	4	2	0.040837	1636.23
512	262144	4	3	0.040658	1638.84
512	262144	4	4	0.040996	1632.44
512	262144	4	5	0.040758	1634.19
512	262144	4	6	0.041328	1635.27
512	262144	4	7	0.040647	1635.26
512	262144	4	8	0.040217	1636.14
512	262144	4	9	0.040441	1634.99
512	262144	4	10	0.040944	1632.83
512	262144	4	11	0.041025	1635.89
512	262144	4	12	0.04046	1632.3
512	262144	4	13	0.04038	1636
512	262144	4	14	0.040506	1635.87
512	262144	4	15	0.040768	1633.81
512	262144	4	16	0.040407	1635.14
512	262144	4	17	0.040334	1634.19
512	262144	4	18	0.040479	1634.65
512	262144	4	19	0.040142	1634.43
512	262144	5	0	0.039786	1632.77
512	262144	5	1	0.038797	1634.65
512	262144	5	2	0.038702	1633.7
512	262144	5	3	0.039103	1636.21
512	262144	5	4	0.038603	1634.55
512	262144	5	5	0.038535	1634.15
512	262144	5	6	0.038636	1632.27
512	262144	5	7	0.039849	1636.85
512	262144	5	8	0.038605	1632.29
512	262144	5	9	0.038607	1633.03
512	262144	5	10	0.038376	1635.07
512	262144	5	11	0.037703	1633.54
512	262144	5	12	0.037777	1632.84
512	262144	5	13	0.038075	1634.43
512	262144	5	14	0.037956	1634.89
512	262144	5	15	0.03819	1632.2
512	262144	5	16	0.038035	1634.22
512	262144	5	17	0.038445	1635.15
512	262144	5	18	0.038241	1635.2
512	262144	5	19	0.039251	1635.43
512	262144	6	0	0.03715	1634.62
512	262144	6	1	0.037041	1635.16
512	262144	6	2	0.0375	1634.85
512	262144	6	3	0.037445	1636.26
512	262144	6	4	0.037814	1635.88
512	262144	6	5	0.037666	1634.89
512	262144	6	6	0.037717	1634.16
512	262144	6	7	0.036717	1633.87
512	262144	6	8	0.036792	1636.61
512	262144	6	9	0.036931	1635.88
512	262144	6	10	0.036947	1634.91
512	262144	6	11	0.036611	1635.87
512	262144	6	12	0.036822	1631.91
512	262144	6	13	0.036479	1634.16
512	262144	6	14	0.036132	1634.54
512	262144	6	15	0.035856	1632.39
512	262144	6	16	0.036783	1635.67
512	262144	6	17	0.035908	1634.66
512	262144	6	18	0.036204	1634.75
512	262144	6	19	0.037042	1632.9
512	262144	7	0	0.037271	1631.44
512	262144	7	1	0.035528	1633.79
512	262144	7	2	0.037605	1634.72
512	262144	7	3	0.037196	1635.96
512	262144	7	4	0.037059	1632.85
512	262144	7	5	0.036092	1636.14
512	262144	7	6	0.035668	1634.88
512	262144	7	7	0.036059	1636.21
512	262144	7	8	0.035741	1634.91
512	262144	7	9	0.035366	1636.6
512	262144	7	10	0.035053	1635.79
512	262144	7	11	0.036907	1634.63
512	262144	7	12	0.03707	1635.92
512	262144	7	13	0.036643	1634.21
512	262144	7	14	0.035984	1633.4
512	262144	7	15	0.03623	1635.14
512	262144	7	16	0.036142	1633.57
512	262144	7	17	0.03608	1635.01
512	262144	7	18	0.036283	1634.29
512	262144	7	19	0.037015	1633.98
512	262144	8	0	0.036359	1632.98
512	262144	8	1	0.036643	1633.61
512	262144	8	2	0.037257	1635.16
512	262144	8	3	0.036095	1634.15
512	262144	8	4	0.036159	1633.09
512	262144	8	5	0.03484	1632.82
512	262144	8	6	0.0343	1635.06
512	262144	8	7	0.034351	1634.43
512	262144	8	8	0.035029	1633.88
512	262144	8	9	0.034356	1634.29
512	262144	8	10	0.035639	1634.16
512	262144	8	11	0.036208	1636.84
512	262144	8	12	0.035714	1634.75
512	262144	8	13	0.034798	1633.27
512	262144	8	14	0.035156	1631.75
512	262144	8	15	0.034016	1632.18
512	262144	8	16	0.034688	1635.22
512	262144	8	17	0.034798	1635.35
512	262144	8	18	0.034652	1633.99
