n	n*n	#proc	run	time [s]	distance	#visited	time/node
128	16384	7	1	0.001036	202.268	5938	1.7447e-07
128	16384	7	2	0.001061	202.488	6420	1.65265e-07
128	16384	7	3	0.001138	203.599	6196	1.83667e-07
128	16384	7	4	0.000999	202.555	5481	1.82266e-07
128	16384	7	5	0.001087	203.219	6245	1.74059e-07
128	16384	7	6	0.001136	203.595	6648	1.70878e-07
128	16384	7	7	0.001079	203.505	6616	1.63089e-07
128	16384	7	8	0.001047	202.192	6160	1.69968e-07
128	16384	7	9	0.00109	203.525	6098	1.78747e-07
128	16384	7	10	0.001095	202.914	6720	1.62946e-07
128	16384	7	11	0.001046	202.536	5827	1.79509e-07
128	16384	7	12	0.001103	203.021	6554	1.68294e-07
128	16384	7	13	0.001093	203.355	6498	1.68206e-07
128	16384	7	14	0.001185	203.929	6332	1.87145e-07
128	16384	7	15	0.001044	203.55	6108	1.70923e-07
128	16384	7	16	0.001044	202.93	5887	1.7734e-07
128	16384	7	17	0.00117	203.359	6496	1.80111e-07
128	16384	7	18	0.000949	201.358	5036	1.88443e-07
128	16384	7	19	0.001108	203.221	6299	1.75901e-07
128	16384	7	20	0.001134	203.309	6295	1.80143e-07
128	16384	7	21	0.001066	203.206	6421	1.66018e-07
128	16384	7	22	0.00106	203.179	6317	1.67801e-07
128	16384	7	23	0.00104	202.58	6304	1.64975e-07
128	16384	7	24	0.001059	203.169	6219	1.70285e-07
128	16384	7	25	0.001095	202.555	5878	1.86288e-07
128	16384	7	26	0.00115	202.982	6852	1.67834e-07
128	16384	7	27	0.001095	203.62	6414	1.7072e-07
128	16384	7	28	0.00119	203.481	6573	1.81044e-07
128	16384	7	29	0.00112	203.646	6840	1.63743e-07
128	16384	7	30	0.001119	204.561	6732	1.66221e-07
128	16384	7	31	0.001222	204.501	6952	1.75777e-07
128	16384	7	32	0.001141	204.508	6841	1.66788e-07
128	16384	7	33	0.001056	203.43	6203	1.7024e-07
128	16384	7	34	0.001143	203.539	6470	1.76662e-07
128	16384	7	35	0.001085	202.542	6561	1.65371e-07
128	16384	7	36	0.001168	203.61	6621	1.76408e-07
128	16384	7	37	0.001051	203.596	6305	1.66693e-07
128	16384	7	38	0.001091	202.887	6161	1.77082e-07
128	16384	7	39	0.001151	203.157	6375	1.80549e-07
128	16384	7	40	0.001049	203.534	6451	1.6261e-07
128	16384	7	41	0.00119	204.456	6957	1.71051e-07
128	16384	7	42	0.001168	203.365	6314	1.84986e-07
128	16384	7	43	0.00105	202.244	5855	1.79334e-07
128	16384	7	44	0.001003	202.555	6144	1.63249e-07
128	16384	7	45	0.001101	203.311	6681	1.64796e-07
128	16384	7	46	0.001064	203.478	6542	1.62641e-07
128	16384	7	47	0.001142	203.167	6278	1.81905e-07
128	16384	7	48	0.001146	204.595	6813	1.68208e-07
128	16384	7	49	0.001058	203.611	6329	1.67167e-07
128	16384	8	0	0.001244	203.576	6044	2.05824e-07
128	16384	8	1	0.001194	203.336	6959	1.71576e-07
128	16384	8	2	0.001145	203.415	6663	1.71845e-07
128	16384	8	3	0.001032	202.508	5482	1.88252e-07
128	16384	8	4	0.001125	203.265	6767	1.66248e-07
128	16384	8	5	0.001026	202.334	5676	1.80761e-07
128	16384	8	6	0.001092	203.433	6723	1.62427e-07
128	16384	8	7	0.001043	203.247	6276	1.66189e-07
128	16384	8	8	0.001126	203.286	6851	1.64356e-07
128	16384	8	9	0.001052	203.527	5942	1.77045e-07
128	16384	8	10	0.001097	203.475	6287	1.74487e-07
128	16384	8	11	0.001133	203.433	6357	1.78229e-07
128	16384	8	12	0.001108	202.887	6548	1.69212e-07
128	16384	8	13	0.001061	203.556	6362	1.66771e-07
128	16384	8	14	0.001219	203.585	6410	1.90172e-07
128	16384	8	15	0.001099	203.477	6384	1.72149e-07
128	16384	8	16	0.001079	203.551	6029	1.78968e-07
128	16384	8	17	0.001113	202.979	6605	1.68509e-07
128	16384	8	18	0.001097	204.534	6600	1.66212e-07
128	16384	8	19	0.001209	203.565	6692	1.80663e-07
128	16384	8	20	0.001151	203.225	6438	1.78782e-07
128	16384	8	21	0.001122	202.353	5758	1.94859e-07
128	16384	8	22	0.001231	203.374	6083	2.02367e-07
